Filtre 1, Paramètre {'n_estimators': 500, 'learning_rate': 0.05, 'max_depth': 4}, AddFeatures 0, Erreur absolue moyenne (XGBoost) pour le scaler StandardScaler : 4.393983364105225
Filtre 2, Paramètre {'n_estimators': 2000, 'learning_rate': 0.05, 'max_depth': 3}, AddFeatures 0, Erreur absolue moyenne (XGBoost) pour le scaler StandardScaler : 5.945049285888672
Filtre 2, Paramètre {'n_estimators': 500, 'learning_rate': 0.05, 'max_depth': 4}, AddFeatures 0, Erreur absolue moyenne (XGBoost) pour le scaler PowerTransformer : 5.501945495605469
Filtre 2, Paramètre {'n_estimators': 1000, 'learning_rate': 0.1, 'max_depth': 6}, AddFeatures 0, Erreur absolue moyenne (XGBoost) pour le scaler PowerTransformer : 5.4542765617370605
Filtre 2, Paramètre {'n_estimators': 2000, 'learning_rate': 0.05, 'max_depth': 3}, AddFeatures 0, Erreur absolue moyenne (XGBoost) pour le scaler PowerTransformer : 5.939923286437988
Filtre 2, Paramètre {'n_estimators': 500, 'learning_rate': 0.05, 'max_depth': 4}, AddFeatures 0, Erreur absolue moyenne (XGBoost) pour le scaler RobustScaler : 5.427084922790527
Filtre 2, Paramètre {'n_estimators': 1000, 'learning_rate': 0.1, 'max_depth': 6}, AddFeatures 0, Erreur absolue moyenne (XGBoost) pour le scaler RobustScaler : 5.297904968261719
Filtre 2, Paramètre {'n_estimators': 2000, 'learning_rate': 0.05, 'max_depth': 3}, AddFeatures 0, Erreur absolue moyenne (XGBoost) pour le scaler RobustScaler : 5.945049285888672
Filtre 2, Paramètre {'n_estimators': 500, 'learning_rate': 0.05, 'max_depth': 4}, AddFeatures 1, Erreur absolue moyenne (XGBoost) pour le scaler StandardScaler : 5.079593181610107
Filtre 2, Paramètre {'n_estimators': 1000, 'learning_rate': 0.1, 'max_depth': 6}, AddFeatures 1, Erreur absolue moyenne (XGBoost) pour le scaler StandardScaler : 5.325226306915283
Filtre 2, Paramètre {'n_estimators': 2000, 'learning_rate': 0.05, 'max_depth': 3}, AddFeatures 1, Erreur absolue moyenne (XGBoost) pour le scaler StandardScaler : 5.049950122833252
Filtre 2, Paramètre {'n_estimators': 500, 'learning_rate': 0.05, 'max_depth': 4}, AddFeatures 1, Erreur absolue moyenne (XGBoost) pour le scaler PowerTransformer : 5.311324596405029
Filtre 2, Paramètre {'n_estimators': 1000, 'learning_rate': 0.1, 'max_depth': 6}, AddFeatures 1, Erreur absolue moyenne (XGBoost) pour le scaler PowerTransformer : 5.5287766456604
Filtre 2, Paramètre {'n_estimators': 2000, 'learning_rate': 0.05, 'max_depth': 3}, AddFeatures 1, Erreur absolue moyenne (XGBoost) pour le scaler PowerTransformer : 5.593911170959473
Filtre 2, Paramètre {'n_estimators': 500, 'learning_rate': 0.05, 'max_depth': 4}, AddFeatures 1, Erreur absolue moyenne (XGBoost) pour le scaler RobustScaler : 5.079593181610107
Filtre 2, Paramètre {'n_estimators': 1000, 'learning_rate': 0.1, 'max_depth': 6}, AddFeatures 1, Erreur absolue moyenne (XGBoost) pour le scaler RobustScaler : 5.325226306915283
Filtre 2, Paramètre {'n_estimators': 2000, 'learning_rate': 0.05, 'max_depth': 3}, AddFeatures 1, Erreur absolue moyenne (XGBoost) pour le scaler RobustScaler : 5.049950122833252
Filtre 3, Paramètre {'n_estimators': 500, 'learning_rate': 0.05, 'max_depth': 4}, AddFeatures 0, Erreur absolue moyenne (XGBoost) pour le scaler StandardScaler : 4.809122562408447
Filtre 3, Paramètre {'n_estimators': 1000, 'learning_rate': 0.1, 'max_depth': 6}, AddFeatures 0, Erreur absolue moyenne (XGBoost) pour le scaler StandardScaler : 4.81673526763916
Filtre 3, Paramètre {'n_estimators': 2000, 'learning_rate': 0.05, 'max_depth': 3}, AddFeatures 0, Erreur absolue moyenne (XGBoost) pour le scaler StandardScaler : 4.660678863525391
Filtre 3, Paramètre {'n_estimators': 500, 'learning_rate': 0.05, 'max_depth': 4}, AddFeatures 0, Erreur absolue moyenne (XGBoost) pour le scaler PowerTransformer : 4.809122562408447
Filtre 3, Paramètre {'n_estimators': 1000, 'learning_rate': 0.1, 'max_depth': 6}, AddFeatures 0, Erreur absolue moyenne (XGBoost) pour le scaler PowerTransformer : 4.81673526763916
Filtre 3, Paramètre {'n_estimators': 2000, 'learning_rate': 0.05, 'max_depth': 3}, AddFeatures 0, Erreur absolue moyenne (XGBoost) pour le scaler PowerTransformer : 4.660678863525391
Filtre 3, Paramètre {'n_estimators': 500, 'learning_rate': 0.05, 'max_depth': 4}, AddFeatures 0, Erreur absolue moyenne (XGBoost) pour le scaler RobustScaler : 4.809122562408447
Filtre 3, Paramètre {'n_estimators': 1000, 'learning_rate': 0.1, 'max_depth': 6}, AddFeatures 0, Erreur absolue moyenne (XGBoost) pour le scaler RobustScaler : 4.81673526763916
Filtre 3, Paramètre {'n_estimators': 2000, 'learning_rate': 0.05, 'max_depth': 3}, AddFeatures 0, Erreur absolue moyenne (XGBoost) pour le scaler RobustScaler : 4.660678863525391
Filtre 3, Paramètre {'n_estimators': 500, 'learning_rate': 0.05, 'max_depth': 4}, AddFeatures 1, Erreur absolue moyenne (XGBoost) pour le scaler StandardScaler : 4.647985458374023
Filtre 3, Paramètre {'n_estimators': 1000, 'learning_rate': 0.1, 'max_depth': 6}, AddFeatures 1, Erreur absolue moyenne (XGBoost) pour le scaler StandardScaler : 4.5796380043029785
Filtre 3, Paramètre {'n_estimators': 2000, 'learning_rate': 0.05, 'max_depth': 3}, AddFeatures 1, Erreur absolue moyenne (XGBoost) pour le scaler StandardScaler : 4.368213653564453
Filtre 3, Paramètre {'n_estimators': 500, 'learning_rate': 0.05, 'max_depth': 4}, AddFeatures 1, Erreur absolue moyenne (XGBoost) pour le scaler PowerTransformer : 4.647985458374023
Filtre 3, Paramètre {'n_estimators': 1000, 'learning_rate': 0.1, 'max_depth': 6}, AddFeatures 1, Erreur absolue moyenne (XGBoost) pour le scaler PowerTransformer : 4.5796380043029785
Filtre 3, Paramètre {'n_estimators': 2000, 'learning_rate': 0.05, 'max_depth': 3}, AddFeatures 1, Erreur absolue moyenne (XGBoost) pour le scaler PowerTransformer : 4.368213653564453
Filtre 3, Paramètre {'n_estimators': 500, 'learning_rate': 0.05, 'max_depth': 4}, AddFeatures 1, Erreur absolue moyenne (XGBoost) pour le scaler RobustScaler : 4.647985458374023
Filtre 3, Paramètre {'n_estimators': 1000, 'learning_rate': 0.1, 'max_depth': 6}, AddFeatures 1, Erreur absolue moyenne (XGBoost) pour le scaler RobustScaler : 4.5796380043029785
Filtre 3, Paramètre {'n_estimators': 2000, 'learning_rate': 0.05, 'max_depth': 3}, AddFeatures 1, Erreur absolue moyenne (XGBoost) pour le scaler RobustScaler : 4.368213653564453
Filtre 4, Paramètre {'n_estimators': 500, 'learning_rate': 0.05, 'max_depth': 4}, AddFeatures 0, Erreur absolue moyenne (XGBoost) pour le scaler StandardScaler : 5.275705337524414
Filtre 4, Paramètre {'n_estimators': 1000, 'learning_rate': 0.1, 'max_depth': 6}, AddFeatures 0, Erreur absolue moyenne (XGBoost) pour le scaler StandardScaler : 5.129366397857666
Filtre 4, Paramètre {'n_estimators': 2000, 'learning_rate': 0.05, 'max_depth': 3}, AddFeatures 0, Erreur absolue moyenne (XGBoost) pour le scaler StandardScaler : 5.269309997558594
Filtre 4, Paramètre {'n_estimators': 500, 'learning_rate': 0.05, 'max_depth': 4}, AddFeatures 0, Erreur absolue moyenne (XGBoost) pour le scaler PowerTransformer : 5.275529384613037
Filtre 4, Paramètre {'n_estimators': 1000, 'learning_rate': 0.1, 'max_depth': 6}, AddFeatures 0, Erreur absolue moyenne (XGBoost) pour le scaler PowerTransformer : 5.1247076988220215
Filtre 4, Paramètre {'n_estimators': 2000, 'learning_rate': 0.05, 'max_depth': 3}, AddFeatures 0, Erreur absolue moyenne (XGBoost) pour le scaler PowerTransformer : 5.254268646240234
Filtre 4, Paramètre {'n_estimators': 500, 'learning_rate': 0.05, 'max_depth': 4}, AddFeatures 0, Erreur absolue moyenne (XGBoost) pour le scaler RobustScaler : 5.275705337524414
Filtre 4, Paramètre {'n_estimators': 1000, 'learning_rate': 0.1, 'max_depth': 6}, AddFeatures 0, Erreur absolue moyenne (XGBoost) pour le scaler RobustScaler : 5.129366397857666
Filtre 4, Paramètre {'n_estimators': 2000, 'learning_rate': 0.05, 'max_depth': 3}, AddFeatures 0, Erreur absolue moyenne (XGBoost) pour le scaler RobustScaler : 5.269309997558594
Filtre 4, Paramètre {'n_estimators': 500, 'learning_rate': 0.05, 'max_depth': 4}, AddFeatures 1, Erreur absolue moyenne (XGBoost) pour le scaler StandardScaler : 4.754603862762451
Filtre 4, Paramètre {'n_estimators': 1000, 'learning_rate': 0.1, 'max_depth': 6}, AddFeatures 1, Erreur absolue moyenne (XGBoost) pour le scaler StandardScaler : 5.127264976501465
Filtre 4, Paramètre {'n_estimators': 2000, 'learning_rate': 0.05, 'max_depth': 3}, AddFeatures 1, Erreur absolue moyenne (XGBoost) pour le scaler StandardScaler : 4.8893890380859375
Filtre 4, Paramètre {'n_estimators': 500, 'learning_rate': 0.05, 'max_depth': 4}, AddFeatures 1, Erreur absolue moyenne (XGBoost) pour le scaler PowerTransformer : 4.754603862762451
Filtre 4, Paramètre {'n_estimators': 1000, 'learning_rate': 0.1, 'max_depth': 6}, AddFeatures 1, Erreur absolue moyenne (XGBoost) pour le scaler PowerTransformer : 5.126638412475586
Filtre 4, Paramètre {'n_estimators': 2000, 'learning_rate': 0.05, 'max_depth': 3}, AddFeatures 1, Erreur absolue moyenne (XGBoost) pour le scaler PowerTransformer : 4.889392852783203
Filtre 4, Paramètre {'n_estimators': 500, 'learning_rate': 0.05, 'max_depth': 4}, AddFeatures 1, Erreur absolue moyenne (XGBoost) pour le scaler RobustScaler : 4.754603862762451
Filtre 4, Paramètre {'n_estimators': 1000, 'learning_rate': 0.1, 'max_depth': 6}, AddFeatures 1, Erreur absolue moyenne (XGBoost) pour le scaler RobustScaler : 5.127264976501465
Filtre 4, Paramètre {'n_estimators': 2000, 'learning_rate': 0.05, 'max_depth': 3}, AddFeatures 1, Erreur absolue moyenne (XGBoost) pour le scaler RobustScaler : 4.8893890380859375
Filtre 5, Paramètre {'n_estimators': 500, 'learning_rate': 0.05, 'max_depth': 4}, AddFeatures 0, Erreur absolue moyenne (XGBoost) pour le scaler StandardScaler : 5.879303455352783
Filtre 5, Paramètre {'n_estimators': 1000, 'learning_rate': 0.1, 'max_depth': 6}, AddFeatures 0, Erreur absolue moyenne (XGBoost) pour le scaler StandardScaler : 6.069551467895508
Filtre 5, Paramètre {'n_estimators': 2000, 'learning_rate': 0.05, 'max_depth': 3}, AddFeatures 0, Erreur absolue moyenne (XGBoost) pour le scaler StandardScaler : 6.389347553253174
Filtre 5, Paramètre {'n_estimators': 500, 'learning_rate': 0.05, 'max_depth': 4}, AddFeatures 0, Erreur absolue moyenne (XGBoost) pour le scaler PowerTransformer : 5.879303455352783
Filtre 5, Paramètre {'n_estimators': 1000, 'learning_rate': 0.1, 'max_depth': 6}, AddFeatures 0, Erreur absolue moyenne (XGBoost) pour le scaler PowerTransformer : 6.069551467895508
Filtre 5, Paramètre {'n_estimators': 2000, 'learning_rate': 0.05, 'max_depth': 3}, AddFeatures 0, Erreur absolue moyenne (XGBoost) pour le scaler PowerTransformer : 6.389347553253174
Filtre 5, Paramètre {'n_estimators': 500, 'learning_rate': 0.05, 'max_depth': 4}, AddFeatures 0, Erreur absolue moyenne (XGBoost) pour le scaler RobustScaler : 5.879303455352783
Filtre 5, Paramètre {'n_estimators': 1000, 'learning_rate': 0.1, 'max_depth': 6}, AddFeatures 0, Erreur absolue moyenne (XGBoost) pour le scaler RobustScaler : 6.069551467895508
Filtre 5, Paramètre {'n_estimators': 2000, 'learning_rate': 0.05, 'max_depth': 3}, AddFeatures 0, Erreur absolue moyenne (XGBoost) pour le scaler RobustScaler : 6.389347553253174
Filtre 5, Paramètre {'n_estimators': 500, 'learning_rate': 0.05, 'max_depth': 4}, AddFeatures 1, Erreur absolue moyenne (XGBoost) pour le scaler StandardScaler : 5.419069766998291
Filtre 5, Paramètre {'n_estimators': 1000, 'learning_rate': 0.1, 'max_depth': 6}, AddFeatures 1, Erreur absolue moyenne (XGBoost) pour le scaler StandardScaler : 5.1783061027526855
Filtre 5, Paramètre {'n_estimators': 2000, 'learning_rate': 0.05, 'max_depth': 3}, AddFeatures 1, Erreur absolue moyenne (XGBoost) pour le scaler StandardScaler : 5.435546398162842
Filtre 5, Paramètre {'n_estimators': 500, 'learning_rate': 0.05, 'max_depth': 4}, AddFeatures 1, Erreur absolue moyenne (XGBoost) pour le scaler PowerTransformer : 5.419069766998291
Filtre 5, Paramètre {'n_estimators': 1000, 'learning_rate': 0.1, 'max_depth': 6}, AddFeatures 1, Erreur absolue moyenne (XGBoost) pour le scaler PowerTransformer : 5.1783061027526855
Filtre 5, Paramètre {'n_estimators': 2000, 'learning_rate': 0.05, 'max_depth': 3}, AddFeatures 1, Erreur absolue moyenne (XGBoost) pour le scaler PowerTransformer : 5.435546398162842
Filtre 5, Paramètre {'n_estimators': 500, 'learning_rate': 0.05, 'max_depth': 4}, AddFeatures 1, Erreur absolue moyenne (XGBoost) pour le scaler RobustScaler : 5.419069766998291
Filtre 5, Paramètre {'n_estimators': 1000, 'learning_rate': 0.1, 'max_depth': 6}, AddFeatures 1, Erreur absolue moyenne (XGBoost) pour le scaler RobustScaler : 5.1783061027526855
Filtre 5, Paramètre {'n_estimators': 2000, 'learning_rate': 0.05, 'max_depth': 3}, AddFeatures 1, Erreur absolue moyenne (XGBoost) pour le scaler RobustScaler : 5.435546398162842
